Langage,Nom,Type,Description,Étoiles,Connu,Maîtrise,Priorité_apprentissage,Objectif_personnel
Python,open_deep_research,Autre,Pas de description,322,,,,
Python,maigret,Web,🕵️‍♂️ Collect a dossier on a person by username from thousands of sites,524,,,,
Python,LTX-Video,Autre,Official repository for LTX-Video,86,,,,
Python,markitdown,Autre,Python tool for converting files and office documents to Markdown.,1382,,,,
Python,MediaManager,Autre,A modern selfhosted media management system for your media library,206,,,,
Python,OpenHands,Autre,"🙌 OpenHands: Code Less, Make More",58,,,,
Python,maple-font,ML,"Maple Mono: Open source monospace font with round corner, ligatures and Nerd-Font icons for IDE and terminal, fine-grained customization options. 带连字和控制台图标的圆角等宽字体，中英文宽度完美2:1，细粒度的自定义选项",16,,,,
Python,MegaParse,NLP,"File Parser optimised for LLM Ingestion with no loss 🧠 Parse PDFs, Docx, PPTx in a format that is ideal for LLMs.",121,,,,
Python,MaxKB,Autre,🔥 MaxKB is an open-source platform for building enterprise-grade agents. MaxKB 是强大易用的开源企业级智能体平台。,52,,,,
Python,localGPT,NLP,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private.,250,,,,
Python,airflow,ML,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",39,,,,
Python,KubeDiagrams,Data,"Generate Kubernetes architecture diagrams from Kubernetes manifest files, kustomization files, Helm charts, helmfiles, and actual cluster state",27,,,,
Python,pydantic-ai,Web,Agent Framework / shim to use Pydantic with LLMs,52,,,,
Python,black,Autre,The uncompromising Python code formatter,26,,,,
JavaScript,remote-jobs,Autre,A list of semi to fully remote-friendly companies (jobs) in tech.,68,,,,
JavaScript,svelte,Web,web development for the rest of us,15,,,,
JavaScript,paperless-ai,API,"An automated document analyzer for Paperless-ngx using OpenAI API, Ollama, Deepseek-r1, Azure and all OpenAI API compatible Services to automatically analyze and tag your documents.",12,,,,
JavaScript,Sub-Store,Autre,"Advanced Subscription Manager for QX, Loon, Surge, Stash, Egern and Shadowrocket!",11,,,,
JavaScript,context7,API,Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors,257,,,,
JavaScript,bilibili-API-collect,API,哔哩哔哩-API收集整理【不断更新中....】,19,,,,
JavaScript,monaco-editor,Web,A browser based code editor,8,,,,
JavaScript,Spider_XHS,Autre,小红书爬虫数据采集，小红书全域运营解决方案,10,,,,
JavaScript,gutenberg,ML,The Block Editor project for WordPress and beyond. Plugin is available from the official repository.,3,,,,
JavaScript,automatisch,API,The open source Zapier alternative. Build workflow automation without spending time and money.,45,,,,
JavaScript,pdf.js,Web,PDF Reader in JavaScript,6,,,,
JavaScript,puter,Autre,"🌐 The Internet OS! Free, Open-Source, and Self-Hostable.",22,,,,
JavaScript,CloudFlare-ImgBed,Autre,Open-source file hosting solution based on CloudFlare (Image hosting/File storage/Cloud drive) / 基于 CloudFlare 的开源文件托管解决方案（图床/文件床/网盘）,22,,,,
Rust,uv,Autre,"An extremely fast Python package and project manager, written in Rust.",123,,,,
Rust,helix,NLP,A post-modern modal text editor.,148,,,,
Rust,forge,NLP,"AI enabled pair programmer for Claude, GPT, O Series, Grok, Deepseek, Gemini and 300+ models",24,,,,
Rust,burn,Web,"Burn is a next generation Deep Learning Framework that doesn't compromise on flexibility, efficiency and portability.",23,,,,
Rust,rerun,Data,"Visualize streams of multimodal data. Free, fast, easy to use, and simple to integrate. Built in Rust.",12,,,,
Rust,neon,API,"Neon: Serverless Postgres. We separated storage and compute to offer autoscaling, code-like database branching, and scale to zero.",21,,,,
Rust,databend,Data,"𝗗𝗮𝘁𝗮, 𝗔𝗻𝗮𝗹𝘆𝘁𝗶𝗰𝘀 & 𝗔𝗜. Modern alternative to Snowflake. Cost-effective and simple for massive-scale analytics. https://databend.com",18,,,,
Rust,convex-backend,Data,The open-source reactive database for app developers,30,,,,
Rust,linera-protocol,ML,Main repository for the Linera protocol,29,,,,
Rust,qdrant,Data,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",31,,,,
Rust,niri,Autre,A scrollable-tiling Wayland compositor.,37,,,,
Rust,pyrefly,Autre,A fast type checker and IDE for Python,5,,,,
Rust,arnis,ML,Generate any location from the real world in Minecraft Java Edition with a high level of detail.,9,,,,
Rust,nautilus_trader,Autre,A high-performance algorithmic trading platform and event-driven backtester,18,,,,
Rust,anchor,Web,⚓ Solana Sealevel Framework,5,,,,
Rust,polkadot-sdk,ML,The Parity Polkadot Blockchain SDK,3,,,,
Rust,risingwave,Autre,Stream processing and management platform.,51,,,,
Rust,microbin,Web,"A secure, configurable file-sharing and URL shortening web app written in Rust.",141,,,,
Rust,rustlings,Autre,🦀 Small exercises to get you used to reading and writing Rust code!,19,,,,
Rust,trippy,Autre,A network diagnostic tool,11,,,,
Rust,delta,Autre,"A syntax-highlighting pager for git, diff, grep, and blame output",57,,,,
Rust,union,Autre,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",481,,,,
Go,mediamtx,Web,"Ready-to-use SRT / WebRTC / RTSP / RTMP / LL-HLS media server and media proxy that allows to read, publish, proxy, record and playback video and audio streams.",21,,,,
Go,github-mcp-server,API,GitHub's official MCP Server,239,,,,
Go,gitleaks,Autre,Find secrets with Gitleaks 🔑,328,,,,
Go,telegraf,Data,"Agent for collecting, processing, aggregating, and writing metrics, logs, and other arbitrary data.",7,,,,
Go,k6,Web,"A modern load testing tool, using Go and JavaScript",6,,,,
Go,mcp-grafana,API,MCP server for Grafana,21,,,,
Go,kustomize,ML,Customization of kubernetes YAML configurations,2,,,,
Go,opentelemetry-collector,Autre,OpenTelemetry Collector,9,,,,
Go,teleport,Autre,"The easiest, and most secure way to access and protect all of your infrastructure.",6,,,,
Go,opentelemetry-collector-contrib,Autre,Contrib repository for the OpenTelemetry Collector,6,,,,
Go,grpc-go,Autre,The Go language implementation of gRPC. HTTP/2 based RPC,1,,,,
Go,evilginx2,Web,"Standalone man-in-the-middle attack framework used for phishing login credentials along with session cookies, allowing for the bypass of 2-factor authentication",10,,,,
Go,cobra,Autre,A Commander for modern Go CLI interactions,11,,,,
Go,gin,Web,"Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",19,,,,
Go,uncloud,ML,A lightweight tool for deploying and managing containerised applications across a network of Docker hosts. Bridging the gap between Docker and Kubernetes ✨,15,,,,
Go,bbolt,Data,An embedded key/value database for Go.,2,,,,
Go,jaeger,Autre,"CNCF Jaeger, a Distributed Tracing Platform",4,,,,
Go,codeforces-go,Autre,算法竞赛模板库 by 灵茶山艾府 💭💡🎈,9,,,,
Go,glance,Autre,A self-hosted dashboard that puts all your feeds in one place,26,,,,
Go,env,Autre,"A simple, zero-dependencies library to parse environment variables into structs",2,,,,
Go,gorm,ML,"The fantastic ORM library for Golang, aims to be developer friendly",3,,,,
Go,kubernetes,ML,Production-Grade Container Scheduling and Management,22,,,,
Go,ollama,NLP,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",93,,,,
Go,terraform-provider-azurerm,Autre,Terraform provider for Azure Resource Manager,2,,,,
TypeScript,bknd,Autre,"Lightweight Firebase/Supabase alternative built to run anywhere — incl. Next.js, Remix, Astro, Cloudflare, Bun, Node, AWS Lambda & more.",138,,,,
TypeScript,n8n,ML,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",710,,,,
TypeScript,strapi,Web,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first.",260,,,,
TypeScript,claude-code-router,ML,"Use Claude Code as the foundation for coding infrastructure, allowing you to decide how to interact with the model while enjoying updates from Anthropic.",476,,,,
TypeScript,midday,Autre,"Invoicing, Time tracking, File reconciliation, Storage, Financial Overview & your own Assistant made for Freelancers",168,,,,
TypeScript,code-server,Web,VS Code in the browser,31,,,,
TypeScript,MusicFree,Autre,插件化、定制化、无广告的免费音乐播放器,190,,,,
TypeScript,astro,Web,The web framework for content-driven websites. ⭐️ Star to support our work!,20,,,,
TypeScript,DocsGPT,NLP,"DocsGPT is an open-source genAI tool that helps users get reliable answers from knowledge source, while avoiding hallucinations. It enables private and reliable information retrieval, with tooling and agentic system capability built in.",35,,,,
TypeScript,better-auth,Web,The most comprehensive authentication framework for TypeScript,50,,,,
TypeScript,freeCodeCamp,Autre,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",160,,,,
TypeScript,dify,Autre,Production-ready platform for agentic workflow development.,158,,,,
TypeScript,firecrawl,Web,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API.",37,,,,
TypeScript,ui,Web,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",62,,,,
TypeScript,nocodb,ML,🔥 🔥 🔥 Open Source Airtable Alternative,43,,,,
TypeScript,Zero,ML,Experience email the way you want with Mail0 – the first open source email app that puts your privacy and safety first. Join the discord: https://mail0.link/discord,28,,,,
TypeScript,angular,Web,Deliver web apps with confidence 🚀,19,,,,
TypeScript,social-app,Web,"The Bluesky Social application for Web, iOS, and Android",5,,,,
TypeScript,midscene,Web,"Your AI Operator for Web, Android, Automation & Testing.",20,,,,
TypeScript,refly,Autre,"The world's first open-source ""Vibe Workflow"" platform for complex tasks.",5,,,,
Java,DevOps-Projects,Autre,𝑫𝒆𝒗𝑶𝒑𝒔 𝑹𝒆𝒂𝒍 𝑾𝒐𝒓𝒍𝒅 𝑷𝒓𝒐𝒋𝒆𝒄𝒕𝒔 𝒇𝒐𝒓 𝑨𝒔𝒑𝒊𝒓𝒊𝒏𝒈 𝑫𝒆𝒗𝑶𝒑𝒔 𝑬𝒏𝒈𝒊𝒏𝒆𝒆𝒓𝒔 [𝑩𝒆𝒈𝒊𝒏𝒏𝒆𝒓 𝒕𝒐 𝑨𝒅𝒗𝒂𝒏𝒄𝒆𝒅],21,,,,
Java,intellij-community,Autre,IntelliJ IDEA Community Edition & IntelliJ Platform,18,,,,
Java,jdk,ML,JDK main-line development https://openjdk.org/projects/jdk,10,,,,
Java,ruoyi-vue-pro,ML,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,27,,,,
